STL,English,Complexity
"eventually[0,60](always[0,5](V_b < 24) and eventually[0,15](T_s <= 50)) -> always[0,30](S_m <= 2000)","If the robot's battery voltage V_b drops below 24 volts for at least 5 consecutive seconds within the first 60 seconds, and simultaneously the temperature sensor T_s does not exceed 50 degrees for 15 seconds, then the motor speed S_m must not exceed 2000 rpm for the following 30 seconds.",nested
"always[0,30]((t1 < 50) -> (p1 <= 80))",The system must ensure that the pressure p1 does not exceed 80 units while the temperature t1 remains below 50 units over the next 30 seconds.,non-nested
"always[0,60](p_1 > 20) -> always[60,180](v_1 == 0)","Whenever the pressure p_1 exceeds 20 units for at least 60 continuous seconds, the valve v_1 should then remain closed for the following 120 seconds.",non-nested
"always[0,100](abs(r_x - r_l) <= 5 and r_speed <= 2)","Within 100 seconds, every robot in the group must maintain a distance from the leader robot r_l that does not exceed 5 meters and simultaneously, all robots should not exceed a speed of 2 meters per second.",non-nested
"always[100,200](x_1 > 2 -> always[50,75](x_3 >= -1))","Whenever signal x1 exceeds the value 2 during the interval from 100 to 200 time units, it is necessary that signal x3 does not go below -1 anytime between 50 to 75 time units later.",nested
"eventually[0,600](speed > 60 and in_school_zone) -> eventually[0,300](speed < 40)","If the autonomous vehicle's speed exceeds 60 km/h while within a school zone anytime within the next 10 minutes, it must reduce its speed to below 40 km/h within the following 5 minutes.",non-nested
"always[0,10](v1 < 60) -> always[0,10](d1 >= 5)","If the speed (v1) of an autonomous vehicle remains below 60 km/h from time 0 to 10, then it must ensure that its proximity to the vehicle ahead (d1) is never less than 5 meters during the same interval.",non-nested
"eventually[5,10](p1 > 200) -> eventually[0,30](v1 < 50)","If the pressure p1 exceeds 200 units within the next 5 to 10 seconds, then the volume v1 must decrease to less than 50 units before 30 seconds have passed.",non-nested
"always[0,10](x_proximity < 2) -> eventually[0,30](speed < 20)","If the autonomous vehicle's proximity sensor detects an obstacle within 2 meters during a 10-second interval, then the vehicle must reduce its speed to below 20 km/h within 30 seconds.",non-nested
"always[0,10](x_speed < 30 or x_emergency_brake > 0)",The vehicle's speed must remain below 30 km/h during the first 10 minutes of entering a school zone unless an emergency brake is activated.,non-nested
"always[0,10](v1 < 25) -> eventually[0,2](activate_school_zone_safety_protocol == true)","If the speed of the autonomous vehicle v1 remains below 25 km/h while approaching the school zone for the next 10 minutes, it should activate the school zone safety protocol.",non-nested
"always[2,7](x1 > 3) -> (eventually[4,9](x3 < -5) and always[6,10](x2 > 4))","Whenever x1 remains above 3 from time interval [2,7], it must lead to x3 dropping below -5 at least once between [4,9], and subsequently, x2 should continuously exceed 4 from [6,10].",non-nested
"always[0,18000](v1 > 60 -> eventually[0,300](v1 < 45))","Whenever the speed signal v1 exceeds 60 km/h, it must decrease below 45 km/h within the next 5 minutes in urban areas.",nested
"always[100,200](x_1 < 4) and eventually[150,170](x_3 > 2)","The signal x_1 should remain below 4 during the interval [100,200], concurrently, signal x_3 must exceed 2 at least once between 150 and 170 units of time.",non-nested
"eventually[0,2](lane_deviation > 0.5) -> always[2,5](lane_deviation < 0.1)","If the autonomous vehicle's lane deviation exceeds 0.5 meters at any time within the first 2 minutes, it must correct to within 0.1 meters deviation for the remainder of the 5-minute interval.",non-nested
"always[5,30](v_a > 60)",The speed of vehicle a remains consistently above 60 units from time 5 to time 30.,non-nested
"always((x1 > 20) -> always[0,10](x2 == 0))","Whenever the autonomous vehicle's speed sensor x1 measures a speed exceeding 20 km/h, the proximity sensor x2 must detect no obstacles for at least the next 10 seconds.",non-nested
"always[2,8](x_1 > 10) -> (eventually[5,10](x_2 < -5) and always[0,12](x_3 <= 15))","When the signal x_1 maintains a value above 10 in the interval [2,8], it should be followed by signal x_2 falling below -5 at least once between [5,10], and continuously, signal x_3 should not exceed 15 throughout the interval [0,12].",non-nested
"eventually[2,10](t_2 > 30) -> always[4,12](p_2 >= 15)","Whenever the temperature value t_2 exceeds 30 degrees within the period [2,10], subsequently pressure p_2 should not go below 15 psi at any point between [4,12].",non-nested
"always[0,120](p1 > 30) -> eventually[0,60](always[0,30](f1 > 20))","If the pressure p1 remains above 30 psi for 120 seconds, then within the following 60 seconds, the flow rate f1 must exceed 20 liters per minute for at least 30 consecutive seconds.",nested
"always[10,20](v > 70) -> eventually[15,25](te > 250)","If vehicle speed v stays above 70mph consistently for the entire duration from 10 to 20 seconds after the race begins, it implies that at some time between 15 to 25 seconds, the engine temperature te will rise above 250 degrees.",non-nested
"always[0,30](p_1 > 120) -> always[0,30](v_1 < 80)","If the pressure p1 exceeds 120 psi continuously over the first 30 seconds, then subsequently, within the same 30 second period, the volume v1 must remain below 80 liters.",non-nested
"always[500,2000](x_3 > 1.2)",The signal x_3 remains above 1.2 for the entire duration from 500 to 2000 milliseconds.,non-nested
"always[0,300](always[0,50](p1 > 120) -> eventually[300,500](f2 < 20))","Whenever the pressure p1 exceeds 120 psi continuously for at least 50 seconds within the first 300 seconds, the system must ensure that the flow rate f2 falls below 20 liters per minute at least once in the subsequent 200 seconds.",nested
"always(v > 120 -> eventually[0,30](always[0,10](v < 80)))","Whenever the vehicle's speed signal v[t] exceeds 120 km/h, it must decrease to below 80 km/h within 30 seconds and maintain that speed for at least 10 seconds.",non-nested
"always[0,20](v > 10) and eventually[10,30](w > 15) -> always[40,60](v < 5)","If signal v remains above 10 during the interval from 0 to 20 time units and signal w exceeds 15 anytime between 10 and 30 time units, then v should remain below 5 within 40 to 60 time units.",non-nested
always((not (distance_to_pedestrian < 10) or speed == 0)),The autonomous vehicle must slow down to a complete stop if a pedestrian unexpectedly crosses the road within a distance of 10 meters.,non-nested
"always[2,5](x3 > 10) -> eventually[3,6](x5 > 20)","Whenever the signal x3 maintains a level above 10 throughout the duration [2,5], it is necessary that signal x5 exceeds 20 at some point between times 3 and 6.",non-nested
"always[10,20](p_1 > 100) and always[0,15](v_1 < 50) -> always[0,30](d_1 > 5)","Whenever the pressure p1 exceeds 100 units continuously between 10 and 20 seconds, and concurrently the volume v1 consistently goes below 50 units within the first 15 seconds, it follows that the density d1 will always be greater than 5 units throughout the duration between 0 and 30 seconds.",non-nested
"always[0,600](v < 20) -> eventually[0,0](always[0,300](safety_mode_on))","If the autonomous vehicle's speed remains below 20 km/h for at least 10 minutes when it enters a school zone, it must initiate a pedestrian safety mode immediately lasting for at least 5 minutes.",nested
"always[0,10](x_1 <= 5)",The autonomous vehicle's acceleration must not exceed 5 m/s^2 during the first 10 seconds of operation to ensure safety.,non-nested
"always(p_1 > 100) -> always[0,60](t_1 >= 30)","Whenever the pressure p_1 exceeds 100 units, then within the subsequent 60 seconds, the temperature t_1 should not fall below 30 degrees.",non-nested
"always[450,540](speed > 60 and in_school_zone -> eventually[0,120](alert == true))","If the autonomous vehicle's speed exceeds 60 km/h while within school zones at any time between 7:30 AM and 9:00 AM, the alert system must be activated within 2 minutes.",non-nested
"eventually[0,10](v1 > 60) -> always[10,20](p3 < 200)","If the velocity v1 exceeds 60 m/s before 10 seconds, the pressure p3 must remain below 200 Pa between 10 and 20 seconds.",non-nested
"always[0,2](y<0.2) -> eventually[3,6](z>1.0)","If signal y remains under 0.2 from time 0 to time 2, then signal z must exceed 1.0 at least once between time 3 and time 6.",non-nested
"always[3,8](x_1 < 30) -> eventually[10,15](y_1 > 70)","Whenever the temperature signal x_1 remains below 30 degrees Celsius between the third and eighth hour, there must exist a moment between the tenth and fifteenth hour when the humidity signal y_1 exceeds 70%.",non-nested
"eventually[0,60](always[0,30](p1 > 100)) -> always[60,90](p2 >= 20)","If the pressure p1 exceeds 100 units for at least 30 seconds within the first minute, then the pressure p2 should not go below 20 units anytime during the next 30 seconds.",nested
"eventually[0,120](obstacle_detected > 0) -> eventually[0,10](speed < 20)","If the autonomous vehicle detects an obstacle on the road ahead within the next 2 minutes, it must reduce its speed to less than 20 km/h within 10 seconds.",non-nested
"eventually[20,60](p1 > 30 and v1 < 20) -> always[0,80](v1 > 25)","If at any point between 20 and 60 seconds the pressure p1 is above 30 units while simultaneously the velocity v1 is less than 20 units, then we should expect that for the following 80 seconds, the velocity v1 remains consistently above 25 units.",non-nested
"eventually[0,60](always[0,20](p1 > 100) and always[0,15](p2 <= 50)) -> always[60,90](p1 >= 90)","If the pressure p1 stays above 100 units for at least 20 seconds within the next minute, and concurrently, the pressure p2 does not exceed 50 units for any 15-second period in the same interval, then p1 must not fall below 90 units for the following 30 seconds.",nested
"always[5,10](x_3 > 10) -> (eventually[0,5](x_1 > 20) or always[7,12](x_2 >= -5))","Whenever signal x_3 remains above 10 during the entire interval [5,10], it implies that either signal x_1 will exceed 20 at some point in [0,5] or signal x_2 will not drop below -5 throughout [7,12].",non-nested
"always[0,5](x1 < 2) -> always[1,6](x3 > 3)","Whenever the signal x1 remains less than 2 during the interval [0,5], then necessarily, the signal x3 should be greater than 3 for the whole duration of [1,6].",non-nested
"eventually[5,20](x_1 + x_3 > 10)","For at least one point within the interval from 5 to 20 time units, the sum of signals x_1 and x_3 must exceed 10.",non-nested
"always[2,4](x_3 > 0.5) -> eventually[5,10](x_4 > 0.8)","Whenever signal x_3 maintains a value greater than 0.5 for the entire interval [2,4], signal x_4 should eventually exceed 0.8 between times 5 and 10.",non-nested
"always((obstacle_distance < 5) -> eventually[0,10](speed < 10))","Whenever the autonomous vehicle detects an obstacle within 5 meters, it must reduce its speed to less than 10 km/h within the next 10 seconds.",non-nested
"always[0,10](x < 0.2) -> eventually[15,20](y == 0)","Whenever signal x remains below 0.2 during the first 10 time units, there should be a subsequent period between 15 and 20 time units where signal y is exactly 0.",non-nested
"always[0,500](v > 10 -> always[0,100](v > 5))","At any point during the first 500 time units, if signal v exceeds 10, it should remain above 5 for at least the next 100 time units.",nested
"always[0,10](s1 < 15) -> eventually[0,60](m1 > 200)","In the context of robotics, if a robot's proximity sensor s1 detects an object closer than 15 cm continuously for at least 10 seconds, then within the next 60 seconds, the motor speed m1 must increase to over 200 rpm.",non-nested
"eventually[0,20](a_1 > 10) -> eventually[25,45](activate_emergency_braking == 1)","If the acceleration of an autonomous vehicle a1 exceeds 10 m/s² for any moment within the first 20 seconds, it must switch on emergency braking between 25 and 45 seconds.",non-nested
"eventually[0,10](x_distance <= 30) -> eventually[0,2](x_speed == 0)","If the autonomous vehicle detects a stop sign within 30 meters at any point over the next 10 seconds, it must come to a complete stop before 2 seconds pass.",non-nested
"eventually[0,10](speed > 1.0) and always[10,30](((0.5 < speed) and (speed <= 2.0)))",The robot's speed exceeds 1.0 m/s within the first 10 seconds and then remains above 0.5 m/s but does not exceed 2.0 m/s from 10 seconds to 30 seconds.,non-nested
"always[0,10](distance_to_pedestrian < 2) -> eventually[0,30](speed < 10)","If the autonomous vehicle senses a pedestrian within 2 meters for at least 10 seconds, it should reduce its speed to less than 10 km/h within the next 30 seconds.",non-nested
"always[0,100](((2 <= v) and (v <= 10))) -> (always[100,150](v <= 20) and eventually[120,170](v > 30))","Whenever signal v remains within the range [2, 10] during the first 100 time units, it should subsequently never exceed 20 for at least 50 time units followed by a spike above 30 within the next 20 to 70 time units.",non-nested
"always[0,30](a > 200) -> always[0,60](b <= 100)","If sensor a maintains a reading above 200 units during the first 30 minutes, then the reading from sensor b should not exceed 100 units until an hour has passed.",non-nested
"always[0,3](speed > 60) -> eventually[3,5](speed < 40)","Whenever the autonomous vehicle's speed exceeds 60 km/h for the whole duration of [0,3] minutes, it should then lower its speed to below 40 km/h between [3,5] minutes.",non-nested
"always[0,10](p_1 > 80 and t_1 > 30) -> eventually[20,30](o_1 >= 100)","When the pressure p1 exceeds 80 psi continuously from time 0 to 10 minutes, while simultaneously, the temperature t1 stays above 30 degrees Celsius, this must result in the system output o1 reaching or exceeding 100 units at some point within the next 20 to 30 minutes thereafter.",non-nested
"always[0,10](speed <= 30) -> always[0,10](proximity > 2)","As long as the vehicle speed remains within 30 km/h during the first 10 minutes of the journey through a residential area, the proximity sensor must not detect any object closer than 2 meters at any point during the same interval.",non-nested
"always[0,120](p1 > 50 and always[0,120](((20 <= p2) and (p2 <= 30)))) -> always[130,180](p3 <= 60)","Whenever the pressure p1 stays above 50 psi continuously from now until 120 seconds, while simultaneously p2 varies between 20 to 30 psi, then p3 must not exceed 60 psi anytime between 130 and 180 seconds.",nested
"eventually[0,60](always[0,10](p1 < 20) and (p2 > 50 -> eventually[0,15](p2 < 30)))","The pressure p1 must stay below 20 units for 10 continuous seconds within the next minute, and during this time, if p2 exceeds 50 units, it must drop back below 30 within the next 15 seconds.",nested
"always[0,60](x_1 > 80) and (eventually[0,60](x_2 > 30) or eventually[0,60](x_3 < -10)) -> always[60,90](x_1 >= 50)","If the robot's battery charge x1 remains above 80% for the first 60 minutes, and either its sensor temp x2 exceeds 30 degrees or x3 falls below -10 degrees within the same duration, then the charge level x1 will not drop below 50% for any point within the subsequent 30 minutes.",non-nested
"always(distance_to_obstacle<0.5 -> eventually[0,2] (vehicle_speed == 0))","While navigating, if the autonomous vehicle detects an obstacle distance less than 0.5 meters, it must stop within 2 seconds.",non-nested
"always[0,10](proximity < 5) -> eventually[0,30](always[0,300](speed < 20))","If the autonomous vehicle's proximity sensor maintains a detection of an obstacle less than 5 meters away continuously for at least 10 seconds while driving through a residential area, then the vehicle must reduce its speed to below 20 km/h within the next 30 seconds and maintain this reduced speed for at least 5 minutes.",nested
"eventually[0,60](p_1 > 80) -> always[60,360](p_1 < 30)","If the pressure p1 exceeds 80 units at any point within the first minute, then it will remain below 30 units for the next five minutes.",non-nested
"always[0,10](p > 0.9) and (eventually[12,15](p < 0.2) -> eventually[13,20](g > 0.5))","During the time span from 0 to 10 units, the robot's arm position `p` remains above 0.9 and if it dips below 0.2 anytime within 12 to 15 units, then within the interval [13,20] the grip force `g` must exceed 0.5.",non-nested
"always[5,15](temp>30)",Temperature exceeds 30 degrees Celsius continuously for at least 10 time units after t=5.,non-nested
"always[0,100](P1 > 60) and eventually[0,100](P2 > 80) -> not (eventually[30,180](always[0,10](P1 < 50)))","If the pressure P1 remains above 60 units until time 100, and if during the same interval pressure P2 surpasses 80 units at least once, it will imply that in the next 30 to 180 seconds, P1 will not drop below 50 units continuously for more than 10 seconds.",non-nested
"always[0,200](p1 > 50) and eventually[0,200](v1 < 10) -> always[200,250](i1 > 20)","If within the first 200 seconds pressure signal p1 constantly exceeds 50 units, and voltage signal v1 is less than 10 units for at least once, subsequently for the next 50 seconds, the current i1 must be above 20 units continuously.",non-nested
"always (x_2 > 3 -> eventually[10,15](y_2 < -2))","Whenever robot sensor x_2 exceeds 3 units, within 10 to 15 seconds, sensor y_2 needs to show a value less than -2 units.",non-nested
"always(a <= 10) -> eventually[80,120] (b >= 15)","Whenever signal a is less than or equal to 10, signal b increases to at least 15 within the next 80 to 120 time units.",non-nested
"always[0,60](h1 > 50) -> eventually[0,30](always[0,10](l1 < 300))","If the humidity level h1 stays above 50% for the next 60 minutes, then there will be a period of at least 10 continuous minutes within the following 30 minutes where the light intensity l1 falls below 300 lux.",nested
"eventually[2,5](s1 > 0.5) and always[0,10](s2 <= 120)","A robot's proximity signal, s1, must exceed 0.5 at least once between 2 and 5 seconds, while motor temperature, s2, should not go beyond 120 degrees during the first 10 seconds.",non-nested
"always[0,50](a < 2) -> eventually[20,70](b > 3)","If signal a remains below 2 for the first 50 units of time, then signal b must exceed 3 at least once between 20 and 70 units of time.",non-nested
"eventually[0,60](always[0,10](v_1 > 60)) -> eventually[60,70](lane_change_signal == 1)","If the autonomous vehicle's speed v1 remains above 60 km/h for at least 10 seconds within the first minute after leaving the garage, then it should signal a lane change intention before the 70th second.",nested
"always[10,20](p1 < 30) -> eventually[20,50](v1 > 50)","Whenever the pressure p1 remains below 30 units consistently between 10 to 20 seconds, there must be a subsequent increase in volume v1 surpassing 50 units within the subsequent 30 seconds period.",non-nested
"always[0,600](speed < 20) -> eventually[0,300](right_turn_signal == 1)","If the autonomous vehicle's speed remains below 20 km/h for at least 10 minutes after entering a school zone, then it must signal a right turn within the next 5 minutes.",non-nested
"always[0,15](t_1 < 25) and eventually[10,20](h_1 > 80) -> always[15,25](c_1 > 5)","If the temperature signal t_1 remains below 25 degrees throughout the interval [0,15], but the humidity signal h_1 exceeds 80% at least once in the interval [10,20], then the cooling system c_1 must operate continuously above 5 units in the interval [15,25].",non-nested
"eventually[2,4](always[0,10](x > 8))","The robotic arm's torque signal x must remain above 8 for at least 10 consecutive time units, starting any time between 2 and 4 seconds from now.",non-nested
"always[0,50](p_1 > 25) -> (eventually[10,60](t_1 > 100) or eventually[0,20](h_1 < 30))","As long as the pressure p_1 exceeds 25 units from time 0 to 50, then it should be ensured that the temperature t_1 exceeds 100 degrees at some point between time 10 and 60, or the humidity h_1 goes below 30% within the first 20 seconds.",non-nested
"always[0,20](temp < 50)","When the autonomous vehicle starts, the internal system temperature should stay below 50 degrees Celsius for the first 20 minutes to avoid overheating.",non-nested
"always[0,10](proximity_sensor < 2) -> eventually[0,20](speed < 10)","If the autonomous vehicle's proximity sensor detects an object closer than 2 meters for over 10 seconds while driving in autonomous mode, the vehicle must reduce its speed to under 10 km/h within the next 20 seconds to ensure safety.",non-nested
"always[0,100](t <= 50) and always[100,200](t < 25)","The temperature signal, t, should not exceed 50 degrees at any time during the first 100 time units, and subsequently, it must remain below 25 degrees between 100 and 200 time units.",non-nested
"(P > 100) until[2,4] (always[0,2] (89 <= P and P <= 95))",The pressure P must exceed 100 units before remaining stable between 89 and 95 units between 2 and 4 seconds later.,non-nested
"eventually[0,60](p1 > 100) -> always[0,30](p2 >= 20)","Whenever the pressure p1 exceeds 100 units at any point within the first 60 seconds, the subsequent minimum pressure p2 should not fall below 20 units in the next 30 seconds.",non-nested
"always[5,15](x1 < 10) or eventually[7,20](x2 > 20)","Every value of signal x1 between the time interval [5, 15] is less than 10, or eventually x2 exceeds 20 between the time interval [7, 20].",non-nested
"always[0,10](p_1 > 80) and eventually[0,10](t_1 > 50) -> always[12,20](h_1 >= 30)","If the pressure p1 remains above 80 units from time 0 to 10, and if during this period the temperature t1 exceeds 50 degrees at least once, then between times 12 and 20, the humidity h1 should never drop below 30 units.",non-nested
"eventually[0,15](always[0,5](T > 75))",The temperature (signal T) exceeds 75 degrees for at least 5 consecutive time units within the first 15 time units.,nested
"always[0,30](p_1 < 20) <-> always[0,45](v_1 == 50)",Every instance where the pressure p1 is under 20 units from the start of the hour to the 30-minute mark coincides with every instance where the volume v1 reaches exactly 50 units in the first 45 minutes.,non-nested
"always[50,150](v_x < 2) -> eventually[150,200](temp < 15)","If the velocity of robot x remains below 2 m/s from time units 50 to 150, it should be followed by a decrease in temperature of the cooling system to below 15 degrees within the next 50 seconds.",non-nested
"always[10,30](v1 > 80)",The speed of vehicle v1 exceeds 80 km/h continuously from 10 to 30 seconds after it starts.,non-nested
"always[2,6](x > 1.2) and eventually[7,10](x < 0.8)","The signal x remains constantly above the value 1.2 from time unit 2 to 6, and then falls below 0.8 at some point between time units 7 and 10.",non-nested
"always[0,30](p1 <= 100) or eventually[0,60](v1 == open)","The pressure p1 should not exceed 100 units during the initial 30 seconds, but if it does, within 60 seconds thereafter, the valve status v1 must open.",non-nested
"always[1,4](a_1 < -10) -> (eventually[2,6](b_1 > 5) and always[3,8](c_1 <= 0))","Whenever the value of a_1 is less than -10 during the entire interval [1,4], it implies that b_1 will exceed 5 at some point between [2,6], and c_1 must never exceed 0 in the interval [3,8].",non-nested
"always[0,5](x_1 > 50 and x_2 < 20)",The robot's sensor x_1 should detect a temperature above 50 degrees while the sensor x_2 should detect a temperature under 20 degrees continuously during the first 5 minutes of operation.,non-nested
"always(y_1>2.0 -> eventually[10,20](y_2<-0.5))","Whenever signal y_1 increases beyond 2.0, signal y_2 should drop below -0.5 within the next 10 to 20 time units.",nested
"always[0,3600](a > 5 -> eventually[10,20](d > 5))","If at any point during the first 60 minutes, the acceleration of an autonomous vehicle exceeds 5 m/s², then the vehicle's deceleration must exceed 5 m/s² within the next 10 to 20 seconds for safety.",nested
"always[50,150]((v1 > 10) -> eventually[5,7](i1 > 2))","For any time between 50 to 150 seconds, whenever the voltage v1 exceeds 10 volts, the current i1 should exceed 2 amperes within 5 to 7 seconds.",non-nested
"always[0,120]((always[0,15](p1 > 80)) -> always[0,25](v1 <= 100))","Within the next 120 seconds, whenever the pressure p1 exceeds 80 psi continuously for at least 15 seconds, the volume v1 should not exceed 100 liters for the following 25 seconds.",nested
"always[100,200](x_2 < 0.3) and always[0,50](x_3 > 0.1) -> eventually[30,60](x_4 > 0.9)","Whenever signal x_2 falls below 0.3 between 100 and 200 seconds, but signal x_3 concurrently remains above 0.1 during the first 50 seconds, then x_4 should eventually exceed 0.9 within the next 30 to 60 seconds.",non-nested
"always[0,10](y<0.2) -> eventually[15,20](y>0.9)","If the value of signal y remains below 0.2 during the first 10 time units, then it must exceed 0.9 at least once between 15 and 20 time units.",non-nested
"always[0,600](v1 < 20) and eventually[0,600](p1 < 2) -> (hazard_lights_on == true)","Whenever the autonomous vehicle's speed signal v1 stays below 20 km/h for at least a continuous interval of 10 minutes, it should trigger the hazard lights if the proximity sensor signal p1 detects an object closer than 2 meters during this period.",non-nested
"always[0,8](v_2 > 10) and eventually[2,9](u_2 < 5) -> (eventually[3,10](t_2 > 15) or always[1,6](t_2 < 20))","If signal v_2 is consistently above 10 during the interval [0,8], and if there exists a point where u_2 is below 5 between [2,9], it necessarily implies that either t_2 must exceed 15 at some point between [3,10] or remain under 20 throughout [1,6].",non-nested
"always[0,60](s1 > 15.5) and eventually[60,360](s2 > 22)","In an autonomous robot navigation scenario, ensure that for the first minute, signal s1 consistently exceeds 15.5 units, and subsequent to that, within 300 seconds, signal s2 must exceed 22 units at least once.",non-nested
"(eventually[0,50](p_1 > 100) and always[0,30](v_1 < 5)) -> always[25,75](a_1 > 3)","Whenever the pressure p1 exceeds 100 units from now until 50 seconds, and the velocity v1 is less than 5 m/s during the first 30 seconds, then the acceleration a1 must always exceed 3 m/s² between 25 and 75 seconds.",non-nested
"always[0,10](x_speed > 5) until[10,20](x_obstacle < 100)",The robot should maintain its speed above 5 m/s until it detects an obstacle within 100 meters at least once during the next 10 to 20 seconds.,non-nested
"always[0,50](p <= 80) -> always[30,60](p < 70)","If the pressure p does not exceed 80 units for the first 50 time units, then it must consistently stay below 70 units in the subsequent 30 to 60 time units.",non-nested
"always[100,200]((v > 10) -> always[0,50](a >= -5))","Between 100 and 200 seconds, if the velocity v exceeds 10 m/s, then acceleration a must not drop below -5 m/s^2 during the next 50 seconds.",non-nested
"always[0,60](H1 > 80) -> (eventually[0,10](L1 > 500) or eventually[0,10](T1 < 20))","If the humidity levels, H1, stay above 80% continuously for more than 60 seconds, then either the light intensity, L1, will exceed 500 lux within the next 10 seconds, or the temperature, T1, will drop below 20 degrees Celsius during the same period.",non-nested
"always[100,2000](f > 3) and (d < 0.3 -> eventually[0,120](always[0,30](f >= 8)))","In a robotic arm control system, the force sensor signal f should remain above 3 N throughout the interval [100, 2000] unless the distance sensor signal d drops below 0.3 m, in which case f must reach 8 N within 120 time units and maintain for at least 30 time units.",non-nested
"always[50,200](x_3 < 0.2) -> eventually[60,210](x_5 > 0.9)","Whenever the signal x_3 remains below 0.2 from 50 to 200 time units, the signal x_5 should exceed 0.9 at least once between 60 and 210 time units.",non-nested
"eventually[0,2](temp > 30) -> always[2,6](hum > 50)","Whenever the temperature (temp) exceeds 30 degrees within the first 2 hours, the humidity (hum) must stay above 50% for at least the next 4 hours.",non-nested
"always(p1 > 80 -> always[0,30](v1 <= 50))","Whenever pressure p1 exceeds 80 units, the vibration level v1 must not exceed 50 units consistently for at least the next 30 seconds.",non-nested
"always[0,100](v1 > 90) -> always[0,200](a1 >= 5)","Whenever the velocity v1 exceeds 90 m/s during a 100-second window, the acceleration a1 should not drop below 5 m/s² anytime within the subsequent 200 seconds.",non-nested
"always[50,200]((v1 > 1.2) and eventually[5,10](v2 < 0.8) -> always[10,20](i1 > 2.0))","Between time units 50 to 200, whenever the voltage v1 exceeds 1.2, followed by a decrease of voltage v2 below 0.8 within the next 5 to 10 units, the current i1 should be higher than 2.0 consistently within the next 10 to 20 units.",non-nested
"always[500,1500]((always[0,30](p1 > 70)) -> eventually[0,200](always[0,10](v1 <= 5)))","Between 500 to 1500 time units, if pressure p1 exceeds 70 psi continuously for at least 30 units, then within 200 units following this period, vibration level v1 should not exceed 5 units for any continuous 10 unit interval.",nested
"always[10,50](p_1 > 100) <-> eventually[20,60](v_1 > 30)","Every point during the interval [10,50] must see the pressure p1 exceed 100 units if and only if at least once between [20,60], the vibration v1 exceeds 30 units.",non-nested
"always[0,600]((v > 60) -> eventually[120,240](v < 30))","Within the first 10 minutes, if the autonomous vehicle's speed exceeds 60 km/h, it must reduce to less than 30 km/h within the subsequent 2 to 4 minutes for safety in urban areas.",non-nested
"always[5,15](x_2 > 75) <-> eventually[10,20](y_2 < 40)","Should the temperature signal x_2 stay above 75 degrees throughout the interval [5,15], it is necessary and sufficient for the humidity signal y_2 to decrease below 40% at any point within the interval [10,20].",non-nested
"eventually[2,4](x < 0.1)",The robot's proximity sensor reading decreases to less than 0.1 meters within the next 2 to 4 seconds.,non-nested
"eventually[2,6](x1 < -2) -> always[4,8](x2 > 3)","Whenever the signal x1 drops below -2 anytime between 2 and 6 seconds, then the signal x2 must exceed 3 during the entire interval of 4 to 8 seconds.",non-nested
"always[100,500](z <= 40) and always[100,500]((z > 10) -> eventually[50,100](z < 5))","From 100 to 500 time units, the value of signal z should not exceed 40. Furthermore, during times when signal z is greater than 10, it must fall below 5 within the next 50 to 100 time units.",non-nested
"always[2,8](x_7 > 20) -> eventually[3,9](y_7 > 30)","Whenever the temperature x_7 remains above 20°C from time 2 to 8, it must cause pressure y_7 to exceed 30 psi sometime between 3 and 9.",non-nested
"always[0,5](x_1 < 10) and always[0,5](x_2 <= 3)","The signal x1 remains consistently below 10 throughout the first 5 seconds, while simultaneously, the signal x2 never exceeds 3 at any moment during the same period.",non-nested
"always[0,60](p1 > 30) and eventually[0,60](always[0,10](f2 > 100)) -> eventually[20,30](v3 == open)","During any given minute, if the pressure p1 remains above 30 psi for the entire duration and the flow rate f2 simultaneously exceeds 100 liters per minute for at least 10 seconds, then the valve v3 must open within the following 20 to 30 seconds.",nested
"always[0,200](m1 > 30) -> eventually[210,220](p1 < 50)","If the moisture level m1 remains above 30% for the entire interval [0,200], then at some point between 10 to 20 seconds following this interval, the pressure p1 must drop below 50 psi.",non-nested
"always[0,5](obstacle_distance < 2) -> eventually[5,15](speed < 5)","If the autonomous vehicle detects an obstacle distance less than 2 meters continuously between 0 and 5 seconds, it must reduce its speed to less than 5 km/h sometime within the subsequent 10 seconds.",non-nested
"eventually[0,10](obstacle_distance < 10) -> (eventually[0,5](speed < 20) and always[0,30](speed < 20))","Whenever the autonomous vehicle detects an obstacle within 10 meters, it must decelerate within 5 seconds to a speed below 20 km/h, and maintain this reduced speed for at least 30 seconds.",non-nested
"always[0,5](v > 50) -> always[5,10](tau <= 40)","Whenever robot arm speed, v, exceeds 50 units from time 0 to 5, the torque, τ, must not surpass 40 units in the subsequent 5 to 10 seconds.",non-nested
"always[0,200]((t > 1) -> eventually[5,30](b > 0.5 and always[0,10](v < 5)))","Within the first 200 time units, if the autonomous vehicle's proximity sensor triggers (signal t > 1), then within 5 to 30 seconds, the braking system (signal b) must activate to keep the vehicle speed (signal v) below 5 km/h for at least the next 10 seconds.",nested
"always[0,120](t_1 > 45) and eventually[0,60](p_1 > 500)","Temperature signal t_1 must be above 45 degrees for the entire period from now until 120 seconds later, while pressure p_1 needs to exceed 500 psi at least once within the first 60 seconds.",non-nested
