STL,English,Complexity
"always[30,60](y1 > 10) -> eventually[40,70](y2 > 20)","The signal y1 remains consistently above 10 between 30 to 60 seconds, and this should imply that the signal y2 will exceed 20 at least once between 40 and 70 seconds.",non-nested
"eventually[0,60](always[0,30](x_3 > 0.5))",Signal x_3 remains above 0.5 for at least 30 seconds within the first minute.,nested
"always[2,6](x_3 < -2) -> eventually[1,5](x_1 > 10)","Whenever the signal x3 remains below -2 throughout the interval [2,6], it implies that the signal x1 will exceed 10 at least once within the interval [1,5].",non-nested
"eventually[0,60](p_1 > 100) and always[0,15](h_1 < 30) -> always[0,40](w_1 < 20)","If pressure p1 exceeds 100 units within the first 60 seconds and humidity h1 remains below 30% consecutively for at least 15 seconds, then within the following 40 seconds, the wind speed w1 should drop below 20 m/s perpetually.",non-nested
"eventually[0,10](s1 > 60) -> always[0,30](s1 > 60)","Whenever the speed s1 exceeds 60 km/h within the next 10 seconds, it should maintain that speed for at least 30 continuous seconds.",non-nested
"always[50,150](x_3 > 0.5) -> eventually[60,120](x_4 < 0.3)","If signal x_3 remains above 0.5 for the entire duration of 50 to 150 units, then it must coincide with signal x_4 dropping below 0.3 anytime between 60 to 120 units later.",non-nested
"always[0,10](h > 110) -> eventually[0,20](h < 90)","If the heart rate h exceeds 110 beats per minute continuously for at least 10 minutes, then there must be a subsequent decrease to below 90 beats per minute within the next 20 minutes.",non-nested
"eventually[0,30](p1 > 100) -> eventually[30,40](v1 < 20)","Whenever the pressure p1 exceeds 100 units during the initial 30 seconds, it should be followed by the vibration level v1 being below 20 units at least once in the subsequent 10 seconds.",non-nested
"always[5,10](x_3 > 10) and always[7,12](x_4 > 3)","The signal x3 remains above 10 throughout the range [5,10], and the signal x4 exceeds 3 simultaneously but only within the range [7,12].",non-nested
"always[0,20](h1 < 30) and eventually[0,20](p1 > 1010) -> always[0,10](w1 >= 5)","If the humidity h1 remains below 30 percent consistently over the next 20 minutes, and during the same period, if air pressure p1 exceeds 1010 hPa at least once, then the wind speed w1 should not drop below 5 m/s at any point during the first 10 minutes.",non-nested
"always[0,10](p_1 < 20) -> (eventually[5,15](t_2 > 50) or eventually[0,20](h_2 < 30))","When the pressure p1 stays below 20 units from start till the 10th minute, it leads to the condition that either the temperature t2 rises above 50 degrees between the 5th and 15th minute, or the humidity h2 falls below 30% within the first 20 minutes.",non-nested
"eventually[0,60](p_1 > 120) and eventually[60,80](p_2 < 30) -> eventually[80,120](v_open == true)","If the pressure p1 exceeds 120 psi within the first 60 seconds and subsequently pressure p2 falls below 30 psi in the next 20 seconds, then the valve v must open within 40 seconds.",non-nested
"always[2,20](always[0,5](h1 > 80) -> eventually[0,15](h2 < 30))","Within 2 to 20 minutes, if humidity h1 consistently exceeds 80% over 5 minutes, it should then be followed by a decrease in humidity h2 below 30% within the next 15 minutes.",nested
"always[20,50]((x_1 + x_2) >= 5 and (x_1 + x_2) <= 10)",The sum of signal x_1 and x_2 remains between 5 and 10 inclusive during the entire interval from 20 to 50 time units.,non-nested
"always[0,60](p_1 < 30) -> always[60,260](h_1 <= 85)","If the pressure p1 remains below 30 units continuously for the first 60 seconds, then within the next 200 seconds the humidity h1 must not exceed 85% at all times.",non-nested
"always[0,20](v_1 > 10) and eventually[0,20](always[0,5](i_1 > 5)) -> not eventually[0,25](t_1 > 50)","The voltage v_1 remains above 10 volts for at least the next 20 seconds, and if during that period the current i_1 exceeds 5 amperes for at least 5 consecutive seconds, the temperature t_1 must not rise above 50 degrees Celsius at any point within the first 25 seconds.",nested
"always[0,30]((x_1 < 0.5) and (x_2 < 0.5))","For the first 30 seconds, both signals x_1 and x_2 must remain under 0.5.",non-nested
"always[0,5](p_1 < 10) -> (eventually[3,8](v_1 > 20) or always[2,7](t_1 > 60))","Whenever the pressure p1 is below 10 within the interval [0,5], it should be that either the volume v1 increases above 20 during [3,8] or the temperature t1 exceeds 60 throughout [2,7].",non-nested
"always[2,5](x_3 < 10) and eventually[2,5](x_4 > 20)","The signal x3 remains below 10 from the beginning of the interval [2,5], and within the same interval, signal x4 exceeds 20 at least once.",non-nested
"always[2,6](x_1 + x_2 > 10) and eventually[5,8](x_1 * x_2 <= 20)","For the duration from time 2 to time 6, the sum of signals x1 and x2 should always exceed 10, whereas at least once between time 5 and time 8, the product of x1 and x2 should not exceed 20.",non-nested
"always[2,6](t_7 > 50) -> (eventually[3,7](h_3 > 70) or eventually[3,7](w_5 < 5))","Whenever the temperature t_7 remains above 50 degrees throughout the duration of [2,6], it must follow that either humidity h_3 will exceed 70% at some point between [3,7] or the wind speed w_5 will drop below 5 km/h within the same interval.",non-nested
"always[50,200]((v1 > 1.2) and eventually[5,10](v2 < 0.8) -> always[10,20](i1 > 2.0))","Between time units 50 to 200, whenever the voltage v1 exceeds 1.2, followed by a decrease of voltage v2 below 0.8 within the next 5 to 10 units, the current i1 should be higher than 2.0 consistently within the next 10 to 20 units.",non-nested
"eventually[20,40](v_1 > 10) -> eventually[0,5](i_2 < 2)","If the voltage v1 exceeds 10 volts at any point between 20 and 40 seconds, it will always be followed by current i2 dropping below 2 amperes within the subsequent 5 seconds.",non-nested
"always[0,500](always[0,100](T > 40) -> eventually[0,50](always[0,30](C > 0)))","Whenever the temperature (signal T) exceeds 40 degrees for at least 100 consecutive units between time 0 and 500, the cooling system (signal C) must activate within the next 50 units and remain active for at least 30 units.",nested
"always[0,60](p_1 > 30) -> not eventually[0,60](v_1 > 50)","If the pressure p1 exceeds 30 units continuously within the first 60 seconds, then voltage v1 must not exceed 50 volts anytime during the same period.",non-nested
"eventually[0,200](p_1 > 50) -> always[0,100](v_1 < 25)","Whenever pressure p1 exceeds 50 units within the first 200 seconds, it is followed by vibration level v1 staying below 25 units consistently for the next 100 seconds.",non-nested
"always[0,10](x_3 >= 2 and x_3 <= 5) and always[10,15](x_3 > 7)","The signal x3 remains within the range [2, 5] during the first 10 units, and then it consistently exceeds 7 for the next 5 units.",non-nested
"always[2,6](x_3 > 4) -> eventually[3,8](x_1 <= 2)","Whenever signal x3 stays above 4 during the time interval [2,6], it must be that signal x1 does not exceed 2 at least once between 3 and 8 seconds afterwards.",non-nested
"eventually[0,20](x_3 > 10) -> eventually[25,45](x_4 < 5)","Whenever signal x3 exceeds 10 during any point in the first 20 seconds, it should be followed by signal x4 dropping below 5 at least once between 25 and 45 seconds.",non-nested
"always(x_3 < -0.5) until[0,30] (x_3 > 0.1)",Signal x_3 remains below -0.5 unless it crosses 0.1 within 30 seconds.,non-nested
"always[5,15](v1 == 10) and always[5,15](v2 <= 20)","The signal v1 remains exactly at 10 between seconds 5 and 15, and during the same period, signal v2 should not exceed 20.",non-nested
"always[2,6](x3 < 2.5) -> always[3,7](x4 > 1.5)",The signal x3 remains below 2.5 during the entire period from 2 to 6 and this always corresponds with signal x4 exceeding 1.5 throughout the interval from 3 to 7.,non-nested
"always[0,100](x_3<0.5) -> eventually[5,7](x_4>0.9)","For the initial 100 seconds, if signal x_3 remains below 0.5 throughout, then at some point between 5 to 7 seconds thereafter, signal x_4 must exceed 0.9.",non-nested
"always[2,6](x3 < 10) -> eventually[3,7](x4 > 15)","Whenever signal x3 remains below 10 between the interval [2,6], it should ensure that signal x4 exceeds 15 at least once between [3,7].",non-nested
"always[60,120](p1 > 100) -> always[80,160](v1 <= 40)","If the pressure p1 is consistently above 100 units for the entire duration of 60 to 120 seconds, then the vibration level v1 must not exceed 40 units at any time between 80 to 160 seconds.",non-nested
"eventually[0,10](x_3 > 0.5) -> always[0,20](x_3 > 0.3)","Whenever signal x3 exceeds 0.5 within the first 10 seconds, it should remain above 0.3 for at least the next 20 seconds.",non-nested
"always[0,30](p1 > 200) -> eventually[0,60](v1 < 5)","Whenever the pressure p1 exceeds 200 psi continuously for at least 30 seconds, it should be followed by the vibration level v1 reaching less than 5 units within the following 60 seconds.",non-nested
"always[0,10](p_1 > 30) -> (eventually[0,5](h_1 < 50) or eventually[0,5](t_1 > 80))","Whenever the pressure p1 remains above 30 units for over 10 minutes, it should lead to a situation where either the humidity h1 falls below 50% within the subsequent 5 minutes, or the temperature t1 exceeds 80 degrees during those same 5 minutes.",non-nested
"always[20,100](v > 120 -> always[0,30](a >= -5))","Every time the velocity v exceeds 120 units between 20 to 100 seconds, the acceleration a must not drop below -5 units within the subsequent 30 seconds.",nested
"always[0,24](x1 > 10) and always[0,24](x2 < 70)",The temperature (signal x1) exceeds 10 degrees throughout the entire day (from 0 to 24 hours) while humidity (signal x2) consistently stays below 70% during the same period.,non-nested
"eventually[10,20](p > 75) -> eventually[25,30](v >= 50)","If the pressure p exceeds 75 units within a period of 10 to 20 seconds, then the velocity v must reach at least 50 units sometime between 25 and 30 seconds.",non-nested
"always[2,6](x_1 > 30) -> eventually[2,6](x_2 < 50)","The temperature (x1) remains steadily above 30 degrees throughout the time interval from 2 to 6 hours, implying that the humidity (x2) must drop below 50% within the same interval.",non-nested
"always[0,5](x1 > 100)",The temperature signal x1 remains above 100 degrees for the entire duration from t=0 to t=5 hours.,non-nested
"eventually[0,30](v1 > 20) -> always[15,45](a1 < 5)","Whenever the velocity v1 exceeds 20 m/s for any moment within the time range [0, 30], subsequently the acceleration a1 must remain under 5 m/s² consistently for the interval [15, 45].",non-nested
"always[0,20](p1 > 30) -> eventually[0,60](v1 > 10)","Whenever pressure p1 remains above 30 units for at least 20 continuous seconds, it should be followed by vibration level v1 exceeding 10 units within the next 60 seconds.",non-nested
"eventually[0,60](p > 120) -> always[0,30](p <= 150)","Whenever the pressure p reaches above 120 psi within the first 60 seconds, it should not exceed 150 psi for at least the following 30 seconds.",non-nested
"always[0,100](v > 20) -> (eventually[0,20](p > 50) or always[0,40](t >= 300))","Whenever the velocity v remains above 20 m/s for 100 seconds, either the pressure p must exceed 50 Pa sometime within the next 20 seconds, or the temperature t must not drop below 300 K throughout the next 40 seconds.",non-nested
"always[0,5](x1 <= 2) -> eventually[2,6](x2 > 3)","Whenever the signal x1 is less than or equal to 2 from the beginning of the interval [0,5], it should imply that within the next 2 to 6 seconds, signal x2 exceeds 3 at least once.",non-nested
"eventually[0,60](p_1 > 30 and always[0,60](v_1 <= 5)) -> always[0,20](p_1 > 50)","If pressure p1 exceeds 30 units within the next 60 seconds and simultaneously, vibration v1 does not exceed 5 units within the same interval, then there must follow a period of 20 seconds where p1 stays above 50 units.",nested
"eventually[0,10](y < 0.2) and always[10,15](y < 0.3)","The signal y decreases to less than 0.2 at some point within the first 10 time units, and thereafter remains below 0.3 until the 15th time unit.",non-nested
"always[0,1000](a <= 20) and always[0,1000](v < 5 -> eventually[0,100](always[0,10](v > 15)))","Between the time period of 0 to 1000 units, the acceleration signal a must not exceed 20 units, and whenever the velocity signal v falls below 5 units, it must surpass 15 units within the next 100 units and maintain that level for at least 10 units.",nested
"always[10,50](x_3>2 -> eventually[5,10](x_4<0.5))","Whenever signal x_3 exceeds 2 between 10 and 50 time units, the signal x_4 should be less than 0.5 at any point within the following 5 to 10 time units.",nested
"eventually[0,60](v1 > 100) -> always[0,120](v1 >= 50)","If speed v1 exceeds 100 km/h within the next 60 seconds, then it must not drop below 50 km/h for at least the following 120 seconds.",non-nested
"always[0,60](p_1 <= 100) -> eventually[60,120](t_3 >= 50)","Whenever the pressure p1 does not exceed 100 units within the first minute, it must be followed by the temperature t3 reaching at least 50 degrees anytime between 60 and 120 seconds.",non-nested
"always[0,30](p1 > 70) -> always[0,50](v2 <= 15)","If pressure p1 exceeds 70 units continuously for at least 30 seconds, then within 50 seconds following this period, vibration v2 must not exceed 15 units at any time.",non-nested
"always[600,1200](p1 > 15) -> eventually[0,300](v1 < 3)","Whenever the pressure p1 exceeds 15 psi continuously from 10 to 20 minutes, it must be followed by the vibration level v1 dropping below 3 units within the next 5 minutes.",non-nested
"eventually[0,10](a_1 > 5) and eventually[10,15](v_1 > 20) -> always[0,20](s_1 >= 15)","Whenever the acceleration a1 exceeds 5 units within the first 10 seconds, and immediately following this, the velocity v1 surpasses 20 units before 15 seconds, it is required that the speed s1 never falls below 15 units during the interval [0,20].",non-nested
"eventually[0,100](z_3 > 10) -> always[0,40](z_4 < 5)","If signal z_3 exceeds 10 within the next 100 seconds, then for at least 40 seconds after that, signal z_4 must consistently remain below 5.",non-nested
"always[0,30](P_1 > 70) -> not eventually[50,80](P_2 > 65)","If pressure P1 consistently exceeds 70 units from now until 30 seconds, then pressure P2 should not go above 65 units anytime between 50 and 80 seconds from now.",non-nested
"always[0,20](v < 0.5 and a > -0.3)","The velocity v remains under 0.5 units from time 0 to 20, while the acceleration a stays above -0.3 units during the same period.",non-nested
"always[2,5](x3 < 0.5) and eventually[2,5](x4 > 1)","The signal x3 remains below 0.5 throughout the duration from time 2 to time 5, but signal x4 exceeds 1 at any point in the same interval.",non-nested
"always[2,6](x_3 == 10) -> eventually[5,9](x_4 > 15)","The signal x3 remains constant at 10 during the interval [2,6], which implies that signal x4 will exceed 15 at least once between [5,9].",non-nested
"eventually[0,60](always[0,5](v_1 > 80))",The speed v_1 must exceed 80 km/h continuously for at least 5 seconds within the first minute.,nested
"always[50,150](x_1<0.5) -> eventually[200,250](x_2>0.8)","If signal x_1 remains under 0.5 for the entire duration from 50 to 150 time units, then at some point between 200 and 250 time units, signal x_2 must exceed 0.8.",non-nested
"always[0,10](p_1 <= 80) and always[0,10](t_3 > 20)",The pressure p1 must not exceed 80 units at any point during the first 10 minutes while the temperature t3 should be consistently above 20 degrees throughout the same period.,non-nested
"always[50,100](x_1 > 2) -> eventually[10,20](x_3 > 3)","Between 50 and 100 time units, if the signal x_1 is continuously above 2, then within 10 to 20 time units thereafter, signal x_3 must exceed 3 at least once.",non-nested
"always[0,5](t > 30) -> (eventually[3,7](h < 40) or eventually[3,7](p > 1020))","Whenever the temperature signal t remains above 30 degrees Celsius from time 0 to 5, it implies that either the humidity signal h will drop below 40% at least once in the interval [3,7] or the pressure signal p will exceed 1020 millibars at least once in the same interval.",non-nested
"always[200,500]((p > 80) -> eventually[0,100](always[0,30](c < 20)))","From the 200th to the 500th second, if the pressure p exceeds 80 units, then within the following 100 seconds, concentration c must drop below 20 units and maintain lower than 20 units for at least 30 continuous seconds.",non-nested
"always[2,6](a1 > 10) -> always[2,6](b1 <= 3)","As long as signal a1 remains above 10 during the interval [2,6], signal b1 should not exceed 3 at any time within the same interval.",non-nested
"always[0,12](t_1 < 15) -> eventually[12,18](h_1 > 80)","If the temperature (t_1) remains below 15 degrees Celsius from the start of the day until noon, then there must be a point between noon and evening where the humidity (h_1) exceeds 80%.",non-nested
"eventually[0,100](p > 50 and always[0,20](v > 5)) -> always[0,60](temperature <= 85)","If pressure p exceeds 50 units within the next 100 seconds and during this period, vibration v stays above 5 units for at least 20 consecutive seconds, then subsequently, the temperature must not go beyond 85 degrees for the next 60 seconds.",nested
"eventually[10,50](p_1 > 80) -> always[0,30](p_2 < 60)","If at any point between 10 and 50 seconds the pressure p1 exceeds 80 units, then the pressure p2 must consistently be below 60 units during the first 30 seconds.",non-nested
"always[5,15](x_3 > 0.5) and eventually[15,15](x_4 > 1.2)","Signal x_3 remains steady above 0.5 from time 5 to 15, and then signal x_4 simultaneously exceeds 1.2.",non-nested
"eventually[0,60](always[0,20](s1 > 80) and not eventually[0,5](p1 < 15)) -> always[0,30](s2 < 50)","If the speed s1 exceeds 80 units for at least 20 seconds during the next minute, and simultaneously pressure p1 does not drop below 15 units for over 5 seconds within the same period, then speed s2 will remain below 50 units throughout the following 30 seconds.",nested
"always[5,10](x_3 < 2) -> eventually[7,12](x_5 > 3)",The signal x3 remains consistently below 2 between seconds 5 and 10 and this should imply that signal x5 exceeds 3 at least once between seconds 7 and 12.,non-nested
"always[2,5](x_3 >= 0)",The signal x_3 remains constant and non-negative from time 2 to time 5.,non-nested
"always[25,75](p1 > 55) -> eventually[0,100](always[0,10](v1 < 5))","If pressure p1 exceeds 55 bars consistently over a period of 25 to 75 seconds, then it should be followed by a decrease in velocity v1 to less than 5 m/s for at least 10 consecutive seconds within the next 100 seconds.",nested
"always[2,5](x3 < 10) <-> eventually[1,3](x1 > 7)","The signal x3 remains below 10 throughout the interval [2,5] if and only if signal x1 rises above 7 at any point before the interval [1,3].",non-nested
"always[2,8](x_3 > 15) -> (eventually[5,10](t_1 > 50) or eventually[5,10](t_2 < -10))","Whenever the quantity x_3 is continuously above 15 during the interval [2,8], it should guarantee that either temperature t_1 will exceed 50 or t_2 will drop below -10 at some point within the interval [5,10].",non-nested
"always[0,30](p1 > 120) and eventually[10,20](f1 < 50) -> always[25,40](v1 > 30)","Whenever the pressure p1 remains above 120 units consistently over the period from 0 to 30 seconds, and the flow rate f1 decreases below 50 units at some point within 10 to 20 seconds, then the volume v1 must be consistently above 30 units from 25 to 40 seconds.",non-nested
"always[0,20](p >= -5 and p <= 5) and eventually[30,40](p > 10)",The pressure p always remains within the range -5 to 5 inclusive during the first 20 seconds but eventually exceeds 10 within the 30 to 40 seconds interval.,non-nested
"eventually[0,10](p_1 > 80) and always[10,30](r_1 >= 30) -> eventually[30,35](v_1 == 1)","If the pressure p1 exceeds 80 units at any point within the first 10 minutes, and subsequently the flow rate r1 does not drop below 30 units for at least 20 consecutive minutes, then the valve v1 must open within the next 5 minutes.",non-nested
"eventually[0,10](x1 < -2) -> always[0,10](x2 <= 7)","Whenever signal x1 is below -2 between 0 and 10 units, then within that period, it must be ensured that signal x2 never exceeds 7.",non-nested
"always[500,1000]((x <= 50) and ((x < 10) -> eventually[0,100](always[0,30](x > 20))))","Within the time range from 500 to 1000 time units, the signal x should not exceed 50. Furthermore, if signal x drops below 10, it must rise above 20 within the next 100 time units and maintain above 20 for at least 30 time units afterwards.",non-nested
"eventually[0,50](always[0,50](p1 < 200) and always[0,50](h1 > 30)) -> always[50,110](t1 <= 90)","If the pressure p1 stays below 200 for the first 50 seconds and simultaneously the humidity h1 is above 30% throughout the same period, then the temperature t1 must not exceed 90 degrees for any time in the following 60 seconds.",nested
"always[1,4](y<0.3)",Signal y stays below 0.3 for the entire duration from 1 to 4 time units.,non-nested
"always[0,10](p1 > 50) -> eventually[0,20](p1 < 70)","If the pressure p1 is above 50 units for at least 10 seconds, then it must be below 70 units within the next subsequent 20 seconds.",non-nested
"always(x_3 > 7) -> eventually[5,15](x_4 > 10)","Whenever signal x_3 is above 7, signal x_4 will rise above 10 at some time between 5 and 15 time units later.",non-nested
"always[0,60](p1 <= 100 and p2 >= 50)","The pressure p1 must not exceed 100 units, while simultaneously the pressure p2 should not drop below 50 units during the first 60 seconds.",non-nested
"eventually[0,20](x_3 > 0.5) -> always[0,25](x_4 >= 0.3)","Whenever signal x_3 exceeds 0.5 within the first 20 seconds, it is required that signal x_4 should not drop below 0.3 at any time during the following 25 seconds.",non-nested
"eventually[0,30](p1 > 120 and always[0,5](p2 < 80)) -> always[30,70](p1 >= 100)","If the pressure p1 exceeds 120 units at any time within the first 30 minutes, and simultaneously the pressure p2 is below 80 units for at least 5 consecutive minutes during the same period, then the pressure p1 will not fall below 100 units for the next 40 minutes.",nested
"eventually[0,60](p_1 > 100) -> always[60,90](p_2 <= 150)","Whenever the pressure p1 exceeds 100 units within the first 60 seconds, then it must be that pressure p2 will not exceed 150 units throughout the subsequent 30 seconds.",non-nested
"always[10,110](x_3 < 0.5) -> eventually[5,10](x_4 > 1.0)","Whenever the signal x3 remains below 0.5 during the period from 10 to 110 time units, subsequently within 5 to 10 time units, the signal x4 should exceed 1.0.",non-nested
"always[2,6](p1 > 100) <-> eventually[3,5](t1 < -20)","The pressure signal p1 remains above 100 throughout the interval [2,6] if and only if the temperature signal t1 goes below -20 at least once between [3,5].",non-nested
"always[0,8](x_1 < 4) -> eventually[5,15](x_3 > 10)","If the signal x1 remains under the threshold of 4 from time 0 to time 8, this implies that at any point between time 5 and time 15, the signal x3 exceeds the level of 10.",non-nested
"eventually[0,60](p_1 > 100 and p_2 < 30) -> eventually[0,40](p_1 > 120)","If within the next 60 seconds pressure p_1 temporarily exceeds 100 units while pressure p_2 is below 30 units, then over the subsequent 40 seconds, there must be at least one incident where p_1 rises above 120 units.",non-nested
"eventually[0,60](p1 > 100) -> always[0,30](p2 >= 20)","Whenever the pressure p1 exceeds 100 units at any point within the first 60 seconds, the subsequent minimum pressure p2 should not fall below 20 units in the next 30 seconds.",non-nested
"always[0,10](T > 50) -> always[0,10](P <= 200)","Whenever the system experiences a temperature (T) greater than 50 degrees over a continuous 10-minute period, we must ensure that the pressure (P) does not exceed 200 psi at any time within the same period.",non-nested
"eventually[0,30](p1 > 80) -> (eventually[40,90](p2 < 20) and always[90,120](p2 >= 50))","If the pressure p1 exceeds 80 units within the first 30 seconds, then there must be a phase where the pressure p2 falls below 20 units between 40 and 90 seconds, before stabilizing at no less than 50 units until the 120-second mark.",non-nested
"always[0,40](p1 < 30) -> eventually[0,100](p2 > 75)","If the pressure p1 remains below 30 units for the next 40 seconds, then the pressure p2 must exceed 75 units at least once within the following 100 seconds.",non-nested
"always[0,15](s_1 < 5) and eventually[0,8](s_2 > 3) -> always[10,20](s_3 <= 7)","If s_1 remains below 5 from now until the 15th second and s_2 surpasses 3 during the first 8 seconds, then s_3 should not exceed 7 for the entire duration between the 10th and 20th seconds.",non-nested
"always[0,10](p1 > 30) -> (always[0,5](v1 > 20) or eventually[0,5](t1 < 50))","If the pressure p1 exceeds 30 units continuously over 10 minutes, then within the following 5 minutes, either the volume v1 will exceed 20 liters continuously, or the temperature t1 must drop below 50 degrees Celsius.",non-nested
"always[0,30](a1 < 10) -> eventually[0,10](a2 >= 20)","Every time signal a1 stays below 10 from moment 0 to 30, it must immediately be followed within 10 seconds by signal a2 reaching or exceeding 20.",non-nested
"always[0,60](p_1 > 30) -> eventually[50,100](v_1 > 100)","If the pressure p1 remains above 30 units from now until 60 seconds from now, then the speed v1 must exceed 100 km/h between seconds 50 and 100.",non-nested
"always[0,1000]((always[0,100](z > 10)) -> always[0,200](z >= 5))","From the beginning of observation until 1000 time units, if signal z continuously rises above the value 10 for at least 100 consecutive units, it should not drop below 5 in the next 200 time units.",nested
"eventually[50,200](z > 10) -> always[100,300](z <= 5)","If signal z ever exceeds 10 between 50 and 200 time units, it must not exceed 5 in the subsequent 100 to 300 time units.",non-nested
"(z > 1.2) until[10,20] (z < 0.3)",The signal z remains above 1.2 until it drops below 0.3 at any moment between 10 and 20 seconds.,non-nested
"always[2,5](x_3 < 4) -> eventually[0,2](x_1 > 10)",The signal x3 must consistently be below 4 during the period from 2 to 5 seconds and this only holds true if the signal x1 surpasses 10 anywhere between 0 and 2 seconds.,non-nested
"eventually[0,30](p_1 > 100) -> always[40,60](p_1 < 80)","Whenever the pressure p1 exceeds 100 units within the first 30 seconds, it must remain below 80 units from 40 to 60 seconds afterward.",non-nested
"eventually[0,100](p_1 > 80) and always[0,20](v_1 < 5) -> always[100,130](t_3 <= 50)","If the pressure p1 exceeds 80 units at any time within the first 100 seconds, and concurrently the system maintains a vibration level v1 less than 5 units for at least 20 seconds, then the temperature t3 will not exceed 50 degrees at any point during the following 30 seconds.",non-nested
"always[2,6](x_3 < 2.5) -> eventually[3,7](x_1 > 5)","When signal x3 stays below 2.5 consistently throughout the interval [2,6], it implies that signal x1 will exceed 5 at least once in the interval [3,7].",non-nested
"always[0,10](v > 15) -> eventually[0,20](w > 30)","If signal v remains above 15 units for at least 10 seconds, then signal w will increase to over 30 units within the following 20 seconds.",non-nested
"always(p1 > 100 -> always[0,60](p1 >= 80))","Every time pressure p1 exceeds 100 psi, it must not drop below 80 psi within the subsequent 60 seconds.",nested
"eventually[0,60](always[0,30](p1 > 120)) -> always[60,120](p2 <= 80)","Whenever pressure p1 stays above 120 units for at least 30 seconds between the next 0 to 60 seconds, then pressure p2 must not exceed 80 units at any time in the following 60 seconds.",nested
"always[0,5](x_1 < 10) -> eventually[0,8](x_2 > -10)","If, during the interval from the current time up to 5 seconds later, the signal x1 stays below 10 at all times, then signal x2 must exceed -10 at least once in the interval from now until 8 seconds later.",non-nested
"always[0,100](((2 <= x_3) and (x_3 <= 5))) or always[50,150](x_4 > 1.5)","The signal x_3 remains within the range [2, 5] for the first 100 time units or x_4 maintains above 1.5 during the interval [50, 150].",non-nested
"always[0,100](abs(x) <= 10) and always[100,150](abs(x) <= 5) -> eventually[150,350](always[0,30](x > 15))","If signal x oscillates between -10 and 10 for at least 100 seconds, and then stabilizes within 5 units of zero for the following 50 seconds, it must reach and stay above 15 for at least 30 seconds within the next 200 seconds.",non-nested
"always(p1 > 80) -> (always[50,100](v1 < 10) and eventually[50,100](a1 > 5))","Whenever the pressure p1 exceeds 80 units, the subsequent 50 to 100 seconds should see the velocity v1 consistently under 10 m/s, and at some point during this period, the acceleration a1 needs to exceed 5 m/s^2.",non-nested
"always[400,1200](z <= 75 and (z < 10 -> eventually[0,100](always[0,30](z > 50))))","Between 400 and 1200 time units, signal z must not exceed 75, and if signal z drops below 10, it should rise above 50 within 100 time units and maintain this level for at least another 30 time units.",nested
"always[0,30](p1 < 25) -> eventually[0,60](always[0,10](h1 > 80))","If the pressure p1 stays below 25 units for 30 continuous seconds, then humidity h1 must exceed 80% for at least 10 seconds within the following minute.",nested
"eventually[0,50](p1 > 100) -> always[50,80](p2 >= 80)","If at any point during the first 50 seconds the pressure p1 exceeds 100 units, then for the entire subsequent duration of 30 seconds, the pressure p2 must not fall below 80 units.",non-nested
"always[2,5](x_1 > 10) -> always[5,8](x_3 <= 20)","Whenever the signal x_1 stays above 10 throughout the interval [2,5], then the signal x_3 should not rise above 20 during the consecutive interval [5,8].",non-nested
"eventually[0,30](always[0,10](p1 > 100)) -> always[40,70](v1 <= 40)","If pressure p1 exceeds 100 units for at least 10 seconds during the next 30 seconds, then the vibration level v1 must not exceed 40 units at any time between 40 and 70 seconds from now.",nested
"always[2,8](t > 22)",The temperature (signal t) remains above 22°C consistently from time unit 2 to time unit 8.,non-nested
"always[0,500](always[0,15](p1 > 200) -> eventually[30,60](v1 == open))","At any point during the first 500 seconds, if pressure p1 rises above 200 psi and stays above that level for more than 15 seconds, the valve v1 should open at some point between 30 and 60 seconds later.",nested
"eventually[400,800](z > 20) -> always[0,100](z >= 10)","Between time units 400 and 800, if signal z exceeds 20 once, it should not drop below 10 for the next 100 time units.",non-nested
"always[10,30](x_3 < 15) -> always[30,80](x_4 > 20)","If signal x3 remains below 15 continuously from 10 seconds to 30 seconds after this moment, then within a 50-second interval starting any time after that, signal x4 must exceed 20 at all times.",non-nested
"always[5,15](x1 <= 30) and eventually[10,20](x2 > 20)","The temperature signal x1 must not exceed 30 degrees anytime between 5 and 15 minutes, and concurrently, the pressure signal x2 must exceed 20 psi at least once between 10 and 20 minutes.",non-nested
"always[0,200](((10 <= p) and (p <= 50))) and eventually[200,300](p > 70) -> eventually[0,350](always[0,30](((10 <= p) and (p <= 50))))","If pressure p remains within the range [10, 50] for the first 200 time units, and then pressure p exceeds 70 at any point in the subsequent 100 time units, it must stabilize back within [10, 50] for at least 30 continuous time units before 350 time units have passed.",non-nested
"(y > 0.2) until[0,10] (y > 0.8)",The signal y remains steady above 0.2 until it exceeds 0.8 within the first 10 seconds.,non-nested
"always[0,15](p1 < 30) -> eventually[10,20](h1 > 80)","Whenever the pressure p1 remains below 30 units in the interval [0,15], it implies that the humidity h1 will exceed 80% at some point during the interval [10,20].",non-nested
"always[2,8](t1 > 30) -> always[2,8](h1 <= 80)","If the temperature (t1) remains above 30 degrees throughout the interval [2,8], then humidity (h1) must not exceed 80% in the same interval.",non-nested
"always[0,1000]((x_3 > 5) -> always[10,20](x_4 >= -2))","From the beginning of the observation until the 1000th time unit, whenever signal x_3 exceeds 5, signal x_4 must not drop below -2 for any period of 10 to 20 time units following.",non-nested
